idArt,Author,Title,Abstract,Year
11,"Fang F,Gong Y,Liao L,Ye F,Zuo Z,Qi Z,Li X,Niu C",Value of Contrast-Enhanced Ultrasound in Partially Cystic Papillary Thyroid Carcinomas.,"Partially cystic papillary thyroid carcinomas (PCPTCs) are rarely reported papillary thyroid carcinomas (PTCs) and are usually misdiagnosed as benign nodules. The objective of this study was to provide the various sonographic characteristics of partially cystic thyroid nodules for differentiation between malignant and benign nodules, including those for conventional ultrasound (US) and contrast-enhanced ultrasound (CEUS). Twenty-three PCPTC patients and 37 nodular goiter patients were enrolled in this study. We evaluated the size, cystic percentage, solid echogenicity, calcification, vascularity, and CEUS parameters for each nodule. The final diagnosis of all patients was confirmed via surgery. Univariate analysis demonstrated that compared with benign nodular goiters, PCPTCs more frequently presented with calcification, hypoechogenicity of the solid part, hypoenhancement, heterogeneous enhancement, centrifugal perfusion, peak intensity index <1, time to peak index ≥1, and area under the curve index <1 on preoperative US and CEUS. Binary logistic regression analysis demonstrated that heterogeneous enhancement, centrifugal perfusion, and peak intensity index <1 are independent CEUS characteristics related to malignant PCPTCs and can be used for their differentiation from benign nodular goiters (all p < 0.05). Our study indicated that preoperative CEUS characteristics may serve as a useful tool to distinguish malignant PCPTCs from benign thyroid nodules.",2021
12,"Allen BD,Limoli CL",Breaking barriers: Neurodegenerative repercussions of radiotherapy induced damage on the blood-brain and blood-tumor barrier.,"Exposure to radiation during the treatment of CNS tumors leads to detrimental damage of the blood brain barrier (BBB) in normal tissue. Effects are characterized by leakage of the vasculature which exposes the brain to a host of neurotoxic agents potentially leading to white matter necrosis, parenchymal calcification, and an increased chance of stroke. Vasculature of the blood tumor barrier (BTB) is irregular leading to poorly perfused and hypoxic tissue throughout the tumor that becomes resistant to radiation. While current clinical applications of cranial radiotherapy use dose fractionation to reduce normal tissue damage, these treatments still cause significant alterations to the cells that make up the neurovascular unit of the BBB and BTB. Damage to the vasculature manifests as reduction in tight junction proteins, alterations to membrane transporters, impaired cell signaling, apoptosis, and cellular senescence. While radiotherapy treatments are detrimental to normal tissue, adapting combined strategies with radiation targeted to damage the BTB could aid in drug delivery. Understanding differences between the BBB and the BTB may provide valuable insight allowing clinicians to improve treatment outcomes. Leveraging this information should allow advances in the development of therapeutic modalities that will protect the normal tissue while simultaneously improving CNS tumor treatments.",2022 Jan
13,"Karki S,Shrestha A,Shrestha B",Adenolipoma of the Breast: A Case Report.,"Adenolipoma of the breast is a rare tumor classified as a hamartomatous lesion. It is a well-circumscribed lesion composed of adipocytes and other breast tissues. The characteristic feature is a well-circumscribed mass containing radiolucent fat admixed with dense fibrous connective tissue surrounded by a thin radiopaque pseudo capsule. Microscopically, there is a mixture of ducts and lobules with adipose tissue. Ductal hyperplasia, adenosis, calcification, and apocrine metaplasia may occur within the hamartoma. These are rarely associated with malignancies and excision is considered curative. If these lesions are not detected clinically or radiologically, these remain unrecognized. Awareness of this poorly recognized benign entity would help avoid an incorrect diagnosis and unnecessary intervention. Here we present a case of a 35-year-old female diagnosed histologically as adenolipoma of the breast.",2021 Nov
14,"Xue S,Zhao Q,Tai M,Li N,Liu Y",Correlation between Breast Ultrasound Microcalcification and the Prognosis of Breast Cancer.,"Breast cancer is a common gynecological disease, and its incidence and mortality are higher than those of other common malignant tumors. Breast ultrasound technology is a new surgical method, which has the advantages of reducing postoperative complications, improving the quality of life of patients, and improving the prognosis of patients. Breast microcalcification is a new method for the treatment of tumors. Its mechanism is that the proliferation of breast cancer cell walls increases the inflammatory factors in the cancer tissues and enhances the formation of tumors and peripheral vascular thrombosis. Breast microcalcification in the treatment of breast cancer patients will have a more significant impact compared to ordinary antibiotics alone. For this reason, the microcalcification performance of breast ultrasound is worthy of study, and related research on prognosis is also indispensable. The purpose of this study is to improve the understanding of the ultrasound manifestations of breast cancer microcalcification and the prognosis of breast cancer. This article mainly applied statistical analysis as well as experimental and survey methods to conduct breast ultrasound examination on 100 patients and analyzed the ultrasound manifestations of breast cancer MCs from three aspects: location, shape, and distribution. The experimental results show that there is no correlation between the location and distribution of breast cancer MCs and the diameter of the cancer foci, but there is a certain correlation between the morphology (non-gravel-like calcification) and the diameter of the cancer foci (>5 cm). Among them, HER-2 overexpression accounted for 11.9% in the grit-like MCs group and 51% in the non-grit-like MCs group.",2021
15,"Aldawsari FM,Alotaibi TB,Hashim OS,Bu Hamad ZA,Eisaa MR,Alhumaidi AA,Alanazi SM,Alenezi FF,Batwie AA,Habib AA,Alismail SS,Almulhim OS,Al Amer AF,Alghamdi TA,Al-Hawaj F",Fahr Disease: A Rare Cause of First-Time Seizure in the Emergency Department.,"Seizure is a common neurological problem in the emergency department. First-time seizure needs careful evaluation to exclude the underlying structural brain lesions. Neuroimaging studies, including magnetic resonance imaging and computed tomography scan, are strongly recommended for all adult patients with first-time seizures. We report the case of a 35-year-old woman who was brought to the emergency department because of the first-time loss of consciousness episode. She developed bilateral jerky movements in both her upper and lower limbs. It was associated with frothy secretions from the mouth and cyanosis. The episode lasted for two minutes and terminated spontaneously. The patient was tired after gaining consciousness. The past medical history of the patient was remarkable for anxiety, depression, and polycystic ovarian syndrome. She has undergone multiple cognitive behavioral therapy sessions, but she did not take any psychiatric medications. Neurological examination did not reveal any focal neurological deficit. The patient underwent a computed tomography scan to exclude any space-occupying lesion. The unenhanced scan demonstrated bilateral symmetrical calcification of the basal ganglia. No calcification was noted in the cerebellum or the cerebral cortex. Otherwise, no intracranial pathology was seen. Such findings conferred the diagnosis of Fahr disease. The patient was discharged on carbamazepine to prevent further seizure episodes. After six months of follow-up, the patient did not experience further convulsion episodes. Fahr disease is a rare disorder with a wide spectrum of manifestations. Despite its rarity, physicians should keep this condition as a possible differential diagnosis when they encounter an adult patient with a first-time seizure, particularly in a patient with a history of neuropsychiatric disorders.",0
16,"Amir T,Hogan MP,Jacobs S,Sevilimedu V,Sung J,Jochelson MS",Comparison of False-Positive Versus True-Positive Findings on Contrast-Enhanced Digital Mammography.,"BACKGROUND.Contrast-enhanced digital mammography (CEDM) has been shown to outperform standard mammography while performing comparably to contrast-enhanced MRI. OBJECTIVE.The purpose of our study was to compare imaging characteristics of false-positive and true-positive findings on CEDM. METHODS.This retrospective study included women who underwent baseline screening CEDM between January 2013 and December 2018 assessed as BI-RADS category 0, 3, 4, or 5 and who underwent biopsy with histopathologic diagnosis or had a 2-year imaging follow-up. Lesion characteristics were extracted from CEDM reports. A true-positive finding was defined as a lesion in which biopsy yielded malignancy. A false-positive finding was defined as a lesion in which biopsy yielded benign or benign high-risk pathology or in which 2-year imaging follow-up was negative. RESULTS.Of 157 patients (median age, 52 years), 24 had a total of 26 true-positive lesions, and 133 had a total of 147 false-positive lesions. Of the 26 true-positive lesions, one (4%) exhibited only a mammographic finding on low-iodine images, 13 (50%) exhibited only a contrast finding on iodine images, and 12 (46%) exhibited both a mammographic finding on low-energy images and a contrast finding on iodine images. A true-positive result was more likely (p = .02) for lesions present on both low-energy images and iodine images (31%) than on low-energy images only (4%) or iodine images only (12%). Among lesions present on both low-energy and iodine images, a true-positive result was more likely (p < .001) when the type of mammographic finding was an asymmetry (46%) or calcification (80%) than a mass (11%) or distortion (0%). A true-positive result was more likely (p = .01) among those with, versus those without, an ultrasound correlate (36% vs 9%) and also was more likely (p = .02) among those with, versus those without, an MRI correlate (18% vs 2%). Of 25 false-positive calcifications, 24 had no associated mammographic enhancement; of five true-positive calcifications, four had mammographic enhancement. CONCLUSION.A low-energy mammographic finding with associated enhancement or a finding with a sonographic or MRI correlate predicts a true-positive result. Calcifications with associated enhancement had a high malignancy rate. Nonetheless, half of true-positive lesions enhanced on iodine images without a mammographic finding on low-energy images. CLINICAL IMPACT.These observations inform radiologists’ management of abnormalities detected on screening CEDM.",2022 May
17,"Jin Y,Bi L,Yang R,Jiang T,Zhang X,Li S",Breast osteosarcoma originating from a malignant phyllodes tumor: A case report of a rare neoplasm.,"Rationale:: Malignant phyllodes tumors with osteosarcomatous transformation are exceedingly rare. The clinical manifestations are similar to those associated with benign giant calcification, resulting in nonspecific and complex clinical symptoms. Patient concerns:: A 59-year-old woman presented with a firm, painless, movable, 5.0 × 4.0 cm lump in the lower inner quadrant of the left breast that she had detected 1 month prior. Diagnoses:: Breast osteosarcoma originating from a malignant phyllodes tumor was confirmed by histopathologic and immunohistochemical evaluation. Interventions:: The patient underwent a wide local excision. Outcomes:: The patient recovered uneventfully and was discharged after the operation. The 6-month postoperative follow-up assessment revealed no evidence of recurrence. Lessons:: Diagnosing malignant phyllodes tumors with osteosarcomatous transformation requires a high level of suspicion and awareness by both surgeons and pathologists. They should be aware of the extent of such disease, which might be mistaken as benign giant calcification. Medical history and imaging findings are important for accurate diagnosis. Phyllodes tumor with an osteosarcomatous component is an aggressive neoplasm associated with distant metastasis. Delayed diagnosis and insufficient excision might negatively impact both treatment and survival.",2021 Nov 24
18,"Gumowska M,Mączewska J,Prostko P,Roszkowska-Purska K,Dobruch-Sobczak K",Is There a Correlation between Multiparametric Assessment in Ultrasound and Intrinsic Subtype of Breast Cancer?,"Molecular profile of breast cancer provides information about its biological activity, prognosis and treatment strategies. The purpose of our study was to investigate the correlation between ultrasound features and molecular subtypes of breast cancer. From June 2019 to December 2019, 86 patients (median age 57 years; range 32–88) with 102 breast cancer tumors were included in the study. The molecular subtypes were classified into five types: luminal A (LA), luminal B without HER2 overexpression (LB HER2−), luminal B with HER2 overexpression (LB HER2+), human epidermal growth factor receptor 2 positive (HER2+) and triple negative breast cancer (TNBC). Histopathological verification was obtained in core biopsy or/and post-surgery specimens in all cases. Univariate logistic regression analysis was performed to assess the association between the subtypes and ultrasound imaging features. Experienced radiologists assessed lesions according to the BIRADS-US lexicon. The ultrasound scans were performed with a Supersonic Aixplorer and Supersonix. Based on histopathological verification, the rates of LA, LB HER2−, LB HER2+, HER2+, and TNBC were 33, 17, 17, 16, 19, respectively. Both LB HER2+ and HER2+ subtypes presented higher incidence of calcification (OR = 3.125, p = 0.02, CI 0.0917–5.87) and HER2+ subtype presented a higher incidence of posterior enhancement (OR = 5.75, p = 0.03, CI 1.2257–32.8005), compared to other subtypes. The calcifications were less common in TNBC (OR = 0.176, p = 0.0041, CI 0.0469–0.5335) compared to other subtypes. There were no differences with regard to margin, shape, orientation, elasticity values and vascularity among five molecular subtypes. Our results suggest that there is a correlation between ultrasonographic features assessed according to BIRADS-US lexicon and BC subtypes with HER2 overexpression (both LB HER2+ and HER2+). It may be useful for identification of these aggressive subtypes of breast cancer.",2021 Nov
19,"Zhou S,Wang X,Shi J,Han Q,He L,Tang W,Zhang A",Serum fatty acid binding protein 4 levels are associated with abdominal aortic calcification in peritoneal dialysis patients.,"Background: Fatty acid binding protein 4 (FABP4) is an adipokine that was mainly derived from adipocytes and macrophages. Vascular calcification (VC) is highly prevalent in peritoneal dialysis (PD) patients and could predict their cardiovascular mortality. The pathogenesis of VC is complex, and adipokines may play an important role in it. This study aimed to examine the relationship between serum FABP4 and VC in PD patients. Methods: Serum FABP4 was measured by enzyme-linked immunosorbent assay. According to the median value of serum FABP4, the participants were divided into the low FABP4 group and the high FABP4 group. Lateral plain X-ray films of abdomen were used to evaluate the abdominal aortic calcification (AAC) score. The participants were divided into the high AAC score group (AAC score ≥4, indicating moderate or heavy VC) and the low AAC score group (AAC score <4, indicating no or mild VC). Results: 116 PD patients were involved in the study. The AAC score and the proportion of patients with an AAC score ≥4 of the high FABP4 group were significantly higher than those of the low FABP4 group. Serum FABP4 of the high AAC score group was significantly higher than that of the low AAC score group [164.5 (138.4, 362.8) ng/mL versus 144.7 (123.8, 170.1) ng/mL, p = 0.002]. Serum FABP4 was positively associated with the AAC score according to the multivariate linear regression analysis. In the multivariate logistic regression analysis, serum FABP4 was the independent influencer of an AAC score ≥4. Conclusions: Serum FABP4 is positively associated with the AAC score and is an independent marker of AAC in PD patients.",0
20,"Salih AM,Hammood ZD,Kakamad FH,Othman S,Ali RK,Latif S",Paget's disease of the breast in male with underlying invasive ductal carcinoma: A case report with review of literature.,"Introduction: Paget's disease of the breast is a rare cutaneous eczema-like condition that occurs in the nipple-areolar complex of the breast. The current study aims to report a rare case of Paget's disease of the breast associated with invasive ductal carcinoma in a male breast. Case report: A 54-year-old male presented with ulceration of the left nipple-areolar complex that has been progressing over the last 6 months. On examination; there was a palpable axillary lymph node. On ultrasound, a small hypoechoic heterogenous mass was seen beneath the areola (8*4 mm) with surrounding vascularity, and a few axillary lymph nodes with normal morphology and cortical thickness. The mammography revealed some points of calcification arranged in clusters. The patient underwent left side mastectomy and sentinel lymph node biopsy. The result of histopathological examination showed left side unifocal invasive ductal carcinoma. Discussion: There are two main theories that explain the histogenesis of Paget's disease of the breast with and without underlying malignancy: epidermotropic theory, which suggests an epidermal infiltration of the nipple with Paget cells, and transformative theory, which proposes a malignant transformation of normal glandular cells of the epidermis. Conclusion: The clinical presentation of Paget's disease of the breast is characteristic and should always warn the surgeon of the possibility of underlying malignancy.",2021 Dec
21,"Bril SI,Chargi N,Pezier TF,Tijink BM,Braunius WW,Smid EJ,de Jong PA,de Bree R",Arterial calcification on preoperative computed tomography imaging as a risk factor for pharyngocutaneous fistula formation after total laryngectomy.,"Background: Research in esophageal surgery showed that computed tomography (CT) assessed arterial calcification (AC) is associated with postoperative complications. We investigated the association between AC and pharyngocutaneous fistula (PCF) formation after laryngectomy. Methods: This was a retrospective cohort study of patients undergoing laryngectomy. AC was scored at 10 different anatomical locations on CT imaging, blinded for PCF occurrence. Association with PCF was investigated using logistic regression. Results: The 224 patients were included; 62 (27.7%) developed a PCF. Moderate to severe AC was widespread in patients undergoing TL; 7.1% of patients had at most mild AC, of whom 1 experienced a PCF (p = 0.05). A higher cumulative calcification score was associated with PCF in univariable (OR 1.11, p = 0.04) and multivariable analysis (OR 1.14, p = 0.05). Conclusion: AC is widespread in patients undergoing laryngectomy and its burden is associated with PCF. Extensive AC on preoperative imaging may be considered a risk factor for PCF.",2022 Feb
22,"Nappi F,Iervolino A,Avtaar Singh SS,Chello M","MicroRNAs in Valvular Heart Diseases: Biological Regulators, Prognostic Markers and Therapeutical Targets.","miRNAs have recently attracted investigators’ interest as regulators of valvular diseases pathogenesis, diagnostic biomarkers, and therapeutical targets. Evidence from in-vivo and in-vitro studies demonstrated stimulatory or inhibitory roles in mitral valve prolapse development, aortic leaflet fusion, and calcification pathways, specifically osteoblastic differentiation and transcription factors modulation. Tissue expression assessment and comparison between physiological and pathological phenotypes of different disease entities, including mitral valve prolapse and mitral chordae tendineae rupture, emerged as the best strategies to address miRNAs over or under-representation and thus, their impact on pathogeneses. In this review, we discuss the fundamental intra- and intercellular signals regulated by miRNAs leading to defects in mitral and aortic valves, congenital heart diseases, and the possible therapeutic strategies targeting them. These miRNAs inhibitors are comprised of antisense oligonucleotides and sponge vectors. The miRNA mimics, miRNA expression vectors, and small molecules are instead possible practical strategies to increase specific miRNA activity. Advantages and technical limitations of these new drugs, including instability and complex pharmacokinetics, are also presented. Novel delivery strategies, such as nanoparticles and liposomes, are described to improve knowledge on future personalized treatment directions.",2021 Nov
